CSA2010,racdiv21,salepr19
Southeastern,80.90666208,100100
Brooklyn/Curtis Bay/Hawkins Point,80.86074465,57000
Westport/Mount Winans/Lakeland,79.00166285,55550
Orangeville/East Highlandtown,74.06296105,160000
Downtown/Seton Hill,69.44089051,199500
Patterson Park North & East,68.51984343,201500
Greater Charles Village/Barclay,67.85144774,199900
Washington Village/Pigtown,66.51482926,125000
Claremont/Armistead,66.00720741,130000
Midtown,64.8998241,240000
Harbor East/Little Italy,63.28183771,304500
North Baltimore/Guilford/Homeland,61.65302772,367250
Morrell Park/Violetville,59.59882522,91000
Greater Roland Park/Poplar Hill,58.58415837,235000
Lauraville,57.12940283,162000
Mount Washington/Coldspring,56.72220801,305000
Harford/Echodale,55.69819591,177000
Glen-Fallstaff,55.65070151,131050
Beechfield/Ten Hills/West Hills,52.41249382,149000
Fells Point,51.66476638,244797.5
Cross-Country/Cheswolde,51.17039163,170000
Highlandtown,51.1203262,264750
Chinquapin Park/Belvedere,49.89893833,159900
Southwest Baltimore,49.46102695,52300
Hamilton,48.67431825,169000
The Waverlies,46.2611189,124000
Madison/East End,44.5464337,120000
Inner Harbor/Federal Hill,43.41550237,260000
Medfield/Hampden/Woodberry/Remington,40.79913608,220000
Canton,40.50451425,275000
Northwood,39.83470588,144900
Poppleton/The Terraces/Hollins Market,36.29594315,110000
Oldtown/Middle East,36.01591102,159500
Loch Raven,34.27881238,143100
Cedonia/Frankford,33.83350905,138500
Penn North/Reservoir Hill,28.86344518,95000
South Baltimore,28.14819466,295000
Dickeyville/Franklintown,26.15830042,234000
Southern Park Heights,25.78489916,60500
Cherry Hill,25.44132261,49000
Allendale/Irvington/S. Hilton,24.60478868,77250
Clifton-Berea,24.1964917,48000
Greater Govans,23.91287758,89758
Belair-Edison,23.82683619,89758
Upton/Druid Heights,20.99314296,106000
Howard Park/West Arlington,17.2482017,175300
Dorchester/Ashburton,16.84559786,141500
Greenmount East,16.0716658,57000
Pimlico/Arlington/Hilltop,15.77787039,81340
Forest Park/Walbrook,14.98668832,153625
Sandtown-Winchester/Harlem Park,13.7114166,55000
Edmondson Village,9.910416846,112000
Greater Mondawmin,9.53408706,99990
Greater Rosemont,7.885083622,55000
Midway/Coldstream,5.799199534,80000
