OBJECTID,CSA2010,numbus10,numbus11,numbus12,numbus13,numbus14,numbus15,numbus16,numbus17,numbus18,numbus19,CSA2020,numbus20,numbus21,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,269,237,253,281,273,230,217,182,206,189,Allendale/Irvington/S. Hilton,201,200,63770461.7789307,38770.1655712542
2,Beechfield/Ten Hills/West Hills,154,136,141,174,150,139,125,127,129,117,Beechfield/Ten Hills/West Hills,126,120,47882527.7103882,37524.9505334027
3,Belair-Edison,225,224,251,258,237,240,183,151,168,176,Belair-Edison,161,162,44950030.4731445,31307.3148434335
4,Brooklyn/Curtis Bay/Hawkins Point,329,414,317,528,454,457,400,343,358,345,Brooklyn/Curtis Bay/Hawkins Point,347,345,176077742.748108,150987.70363897
5,Canton,314,322,364,400,358,339,344,316,329,290,Canton,319,305,15408538.2250977,23338.6119476204
6,Cedonia/Frankford,426,379,407,451,434,369,335,300,334,287,Cedonia/Frankford,323,310,71541340.3058472,39962.5498346815
7,Cherry Hill,88,138,100,161,144,151,134,136,134,126,Cherry Hill,136,152,29144181.350769,22305.3020666618
8,Chinquapin Park/Belvedere,140,128,145,172,149,258,137,127,127,209,Chinquapin Park/Belvedere,114,112,21022590.1312866,21705.4116303127
9,Claremont/Armistead,177,185,190,214,208,230,166,158,196,211,Orchard Ridge/Armistead,180,169,61243774.4209595,40104.4159801615
10,Clifton-Berea,182,169,164,162,171,201,128,106,134,155,Clifton-Berea,128,117,23285233.9252319,24022.7646207837
11,Cross-Country/Cheswolde,209,193,207,269,245,273,195,176,163,187,Cross-Country/Cheswolde,153,155,38222018.31604,26788.3018783796
12,Dickeyville/Franklintown,32,39,32,55,40,42,44,36,60,33,Dickeyville/Franklintown,59,59,35719112.4155273,31637.8174237962
13,Dorchester/Ashburton,173,177,184,211,202,180,153,138,163,150,Dorchester/Ashburton,156,157,34118277.1814575,27136.0757115415
14,Downtown/Seton Hill,2985,2730,2923,3353,2928,3152,2774,2619,2640,2741,Downtown/Seton Hill,2658,2697,20736554.4073486,21565.8593945522
15,Edmondson Village,55,58,65,65,54,72,54,47,56,58,Edmondson Village,58,52,23563061.041626,21504.5513578178
16,Fells Point,491,462,514,528,561,525,430,394,429,432,Fells Point,438,409,12620515.7174683,27670.1699157546
17,Forest Park/Walbrook,146,142,142,163,155,151,129,117,130,128,Forest Park/Walbrook,123,113,37200535.0294189,36886.8997811198
18,Glen-Fallstaff,711,672,704,760,719,598,663,604,642,526,Glen-Fallstaff,628,618,46995477.4783325,48549.0046179152
19,Greater Charles Village/Barclay,884,842,896,995,904,846,848,781,837,816,Greater Charles Village/Barclay,861,866,27051213.4530029,26454.2692113213
20,Greater Govans,149,153,156,186,174,213,131,117,116,149,Greater Govans,115,113,22698495.7179565,22982.1257149537
21,Greater Mondawmin,225,262,281,298,221,239,254,219,253,174,Greater Mondawmin,262,253,33663448.27948,31136.7318903565
22,Greater Roland Park/Poplar Hill,350,356,395,425,375,402,356,311,319,332,Greater Roland Park/Poplar Hill,322,324,56688145.1791382,39862.7497953278
23,Greater Rosemont,311,284,316,329,320,284,244,199,255,228,Greater Rosemont,250,239,42204384.5426025,32559.0762211873
